time,open,high,low,close,symbol,volume,quote_volume,涨跌幅,上涨,下跌,Vidya_2,上涨数量,下跌数量,上涨比例,rank_Vidya_2,rank_sum,rank
2021-01-01 11:59:00,7.234,7.757999999999999,7.155,7.664,SNX-USDT,1255300.7,9487430.6589,0.05973451327433632,1,0,-0.02141528008005067,63,15,0.8076923076923077,1.0,1.0,1.0
2021-01-01 23:59:00,8.946,9.011,8.097000000000001,8.287,DOT-USDT,25756637.9,217754820.3469,-0.07366420746702429,0,1,-0.03824058492427296,22,56,0.28205128205128205,1.0,1.0,1.0
2021-01-02 11:59:00,1.1578,1.1626,1.0351,1.0706,1INCH-USDT,12425733.0,13604375.9425,-0.07531525306615994,0,1,-0.03913121522168361,23,55,0.2948717948717949,1.0,1.0,1.0
2021-01-02 23:59:00,0.5886,0.59496,0.53082,0.5422,AXS-USDT,6340706.0,3570652.20354,-0.07886242397472054,0,1,-0.04104985762543989,39,39,0.5,1.0,1.0,1.0
2021-01-03 11:59:00,0.07227,0.07681,0.06479,0.06812,ZIL-USDT,568478166.0,39767008.15138,-0.057293108220315636,0,1,-0.02949138053853828,57,21,0.7307692307692307,1.0,1.0,1.0
2021-01-03 23:59:00,0.32452,0.33758,0.29458,0.2998,GRT-USDT,105913940.0,33173182.80756,-0.07583230579531441,0,1,-0.03941044537007343,67,11,0.8589743589743589,1.0,1.0,1.0
2021-01-04 11:59:00,0.009878,0.011554,0.0077,0.008864,DOGE-USDT,15408901674.0,148546439.834962,-0.10256150653032292,0,1,-0.05405261192038846,14,64,0.1794871794871795,1.0,1.0,1.0
2021-01-05 11:59:00,3.5713,3.7864,3.1123,3.5008,SUSHI-USDT,22223359.0,75826677.3834,-0.020207108872096313,0,1,-0.010206678164494387,63,15,0.8076923076923077,1.0,1.0,1.0
2021-01-05 23:59:00,2.3778,2.399,2.073,2.1355,SOL-USDT,16683101.0,37000989.4413,-0.1019009168138616,0,1,-0.0536857731593291,56,22,0.717948717948718,1.0,1.0,1.0
2021-01-06 23:59:00,2.0322,2.1578,1.6734,1.8753,SOL-USDT,32130164.0,61306773.2752,-0.07729777602834087,0,1,-0.04020267676638434,56,22,0.717948717948718,1.0,1.0,1.0
2021-01-07 11:59:00,0.08516,0.09129,0.08154,0.09114,BLZ-USDT,48363864.0,4167900.95665,0.07135300340895734,1,0,-0.02820311226369121,40,38,0.5128205128205128,1.0,1.0,1.0
2021-01-07 23:59:00,1.4696,1.6204,1.25,1.2986,1INCH-USDT,29236086.0,42918781.44,-0.11563606646690272,0,1,-0.06136610046982294,14,64,0.1794871794871795,1.0,1.0,1.0
2021-01-08 11:59:00,0.3482,0.3818,0.3141,0.3756,STORJ-USDT,19772701.0,6866451.9338,0.07900028727377184,1,0,-0.020695977022839207,40,38,0.5128205128205128,1.0,1.0,1.0
2021-01-08 23:59:00,0.1814599999999999,0.18602,0.15213,0.16512,CVC-USDT,133336760.0,22268891.55636,-0.08934480476505635,0,1,-0.04676134395566334,26,52,0.3333333333333333,1.0,1.0,1.0
2021-01-09 11:59:00,0.38538,0.45614,0.37216,0.44006,ALPHA-USDT,34768366.0,14709675.33295,0.14227125243348482,1,0,-0.060130020400474216,70,8,0.8974358974358975,1.0,1.0,1.0
2021-01-09 23:59:00,0.4478,0.4811,0.4258,0.4334,IOTA-USDT,43804509.4,19788430.3431,-0.031508379888268156,0,1,-0.006161662015884417,58,20,0.7435897435897436,1.0,1.0,1.0
2021-01-10 11:59:00,1.339,1.3967,1.1984,1.2102,RLC-USDT,7901460.2,10300501.30514,-0.09592111160914396,0,1,-0.05037664783427498,13,65,0.16666666666666666,1.0,1.0,1.0
2021-01-10 23:59:00,3.363,3.619,2.84,3.062,EOS-USDT,174747288.5,553570690.7168,-0.08896161856590312,0,1,-0.046551455706056455,37,41,0.47435897435897434,1.0,1.0,1.0
2021-01-11 23:59:00,0.008715,0.010627,0.0080069999999999,0.010578,IOST-USDT,2355960759.0,20754681.413689,0.21670117322291227,1,0,-0.07316546369102128,39,39,0.5,1.0,1.0,1.0
2021-01-12 11:59:00,88.24,106.13,84.32,97.71,ZEC-USDT,1029977.722,98853470.21441,0.10782312925170068,1,0,-0.048787336842350926,56,23,0.7088607594936709,1.0,1.0,1.0
2021-01-12 23:59:00,0.47962,0.48445,0.44255,0.45102,AXS-USDT,6645155.0,3087832.84967,-0.05935596896638029,0,1,-0.030585706609349894,15,64,0.189873417721519,1.0,1.0,1.0
2021-01-13 11:59:00,27.102,27.128,24.121,24.913,ZEN-USDT,832973.1,21035222.5654,-0.0807689469411852,0,1,-0.04208401422666541,71,8,0.8987341772151899,1.0,1.0,1.0
2021-01-14 11:59:00,0.11222,0.1134299999999999,0.107,0.11018,SKL-USDT,18418114.0,2029111.63133,-0.018178577793619644,0,1,-0.009172661870503585,45,34,0.569620253164557,1.0,1.0,1.0
2021-01-14 23:59:00,3.4236,3.5674,3.1741,3.2949,SOL-USDT,11632700.0,38916524.2527,-0.037648227116069855,0,1,-0.019185259053090542,51,28,0.6455696202531646,1.0,1.0,1.0
2021-01-15 11:59:00,25.171,25.994,23.761,24.026,ZEN-USDT,393879.2,9831195.7978,-0.04617094763587282,0,1,-0.023631006806867916,54,25,0.6835443037974683,1.0,1.0,1.0
2021-01-15 23:59:00,14.14,14.149,11.771,13.158,DOT-USDT,37130744.4,488073396.6954,-0.06905334654025763,0,1,-0.03576139528066835,17,62,0.21518987341772153,1.0,1.0,1.0
2021-01-16 23:59:00,0.023949,0.024016,0.019634,0.020824,IOST-USDT,3820540584.0,82264136.771884,-0.13106613811808898,0,1,-0.07012882627430839,15,64,0.189873417721519,1.0,1.0,1.0
2021-01-17 11:59:00,0.02083,0.020838,0.0167539999999999,0.0185,IOST-USDT,4638857242.0,84457964.121291,-0.11160199769496737,0,1,-0.0590987691994711,28,51,0.35443037974683544,1.0,1.0,1.0
2021-01-17 23:59:00,0.01852,0.02184,0.017465,0.020727,IOST-USDT,3602620616.0,70646321.161305,0.12037837837837828,1,0,-0.05435203960796409,66,13,0.8354430379746836,1.0,1.0,1.0
2021-01-18 11:59:00,7.0547,7.7444,6.83,7.4691,SUSHI-USDT,10185499.0,74324487.8555,0.05925148554167303,1,0,-0.016710846535067492,55,24,0.6962025316455697,1.0,1.0,1.0
2021-01-18 23:59:00,1.9467,1.9721,1.76,1.8889,1INCH-USDT,16589989.0,30499628.317,-0.028992957384465168,0,1,-0.014709717802931621,44,35,0.5569620253164557,1.0,1.0,1.0
2021-01-19 11:59:00,0.61934,0.64918,0.525,0.5622699999999999,GRT-USDT,163554687.0,93259549.00316,-0.09148637076055521,0,1,-0.047935927393409794,46,34,0.575,1.0,1.0,1.0
2021-01-22 23:59:00,1.993,2.096,1.896,1.958,CRV-USDT,44035473.6,87797971.9855,-0.01805416248746239,0,1,-0.005393331880583774,64,17,0.7901234567901234,1.0,1.0,1.0
2021-01-23 11:59:00,30843.7,31644.5,29641.0,30062.5,YFI-USDT,1623.351,49689621.3443,-0.02457186613800222,0,1,-0.01243875477766121,41,40,0.5061728395061729,1.0,1.0,1.0
2021-01-24 23:59:00,3.775,3.785,3.431,3.553,QTUM-USDT,8889438.6,31811565.9276,-0.05880794701986758,0,1,-0.030294759825327477,19,62,0.2345679012345679,1.0,1.0,1.0
2021-01-25 11:59:00,28.609,32.097,27.958,32.062,TRB-USDT,378326.7,11330187.6593,0.12163722231939822,1,0,-0.037915900588704754,56,26,0.6829268292682927,1.0,1.0,1.0
2021-01-26 11:59:00,0.93496,1.07889,0.91417,1.04744,ALPHA-USDT,31739115.0,32448580.94658,0.12000513253707723,1,0,-0.043718572831300206,27,56,0.3253012048192771,1.0,1.0,1.0
2021-01-26 23:59:00,0.5576300000000001,0.60616,0.5251899999999999,0.6009800000000001,OCEAN-USDT,26929266.0,15217230.64643,0.07773971988594597,1,0,-0.03190653865174842,69,14,0.8313253012048193,1.0,1.0,1.0
2021-01-27 23:59:00,0.28,0.3162,0.2716,0.3031,BAT-USDT,62655152.1,18446169.96451,0.0824999999999998,1,0,-0.03352110074799142,26,57,0.3132530120481928,1.0,1.0,1.0
2021-01-28 23:59:00,0.0424,0.04446,0.03838,0.0386699999999999,MATIC-USDT,309238028.0,12854795.49804,-0.08797169811320993,0,1,-0.022735433483482725,47,37,0.5595238095238095,1.0,1.0,1.0
2021-01-29 11:59:00,1.1815,1.2838,1.1559,1.2579,RLC-USDT,6445690.6,7783520.46874,0.06511430990685851,1,0,-0.029391596961394706,59,25,0.7023809523809523,1.0,1.0,1.0
2021-01-29 23:59:00,1.944,2.093,1.872,2.047,CRV-USDT,15669302.8,30535354.7799,0.05352547606793623,1,0,-0.018012510952177263,25,59,0.2976190476190476,1.0,1.0,1.0
2021-01-30 11:59:00,0.045873,0.050646,0.02833,0.032685,DOGE-USDT,32015123805.0,1119590755.533153,-0.2876446614214415,0,1,-0.16798187557275224,33,51,0.39285714285714285,1.0,1.0,1.0
2021-01-30 23:59:00,0.032681,0.03528,0.022147,0.0279899999999999,DOGE-USDT,30837093063.0,880193693.090867,-0.14364387333639583,0,1,-0.07737948084054558,65,19,0.7738095238095238,1.0,1.0,1.0
2021-01-31 11:59:00,0.0884799999999999,0.09192,0.0825,0.08469,SAND-USDT,9276651.0,796320.31366,-0.04348317144793301,0,1,-0.021310657762604324,48,36,0.5714285714285714,1.0,1.0,1.0
2021-01-31 23:59:00,0.115212,0.128546,0.103006,0.128493,FTM-USDT,270009104.0,30516556.627656,0.11615604450968986,1,0,-0.04163996640964507,10,74,0.11904761904761904,1.0,1.0,1.0
2021-02-01 11:59:00,9.0301,10.2218,8.5871,9.946,BAND-USDT,2975895.6,28309096.45601,0.10192776423664962,1,0,-0.038001963918171566,54,31,0.6352941176470588,1.0,1.0,1.0
2021-02-01 23:59:00,0.116658,0.118717,0.105904,0.108768,FTM-USDT,112868408.0,12640024.974039,-0.06728979976846883,0,1,-0.034816290492184265,61,24,0.7176470588235294,1.0,1.0,1.0
2021-02-02 11:59:00,0.04,0.0403699999999999,0.03531,0.03688,BTS-USDT,99556342.0,3722291.83854,-0.07799999999999996,0,1,-0.04058272632674298,49,36,0.5764705882352941,1.0,1.0,1.0
2021-02-02 23:59:00,0.03688,0.04369,0.03671,0.03971,BTS-USDT,121974750.0,4935138.55739,0.07673535791757047,1,0,-0.03334814536860575,57,28,0.6705882352941176,1.0,1.0,1.0
2021-02-03 11:59:00,31.966,35.4,31.703000000000003,35.345,TRB-USDT,289054.9,9725428.1068,0.10529113765713927,1,0,-0.037850994533764615,65,20,0.7647058823529411,1.0,1.0,1.0
2021-02-03 23:59:00,2.1884,2.1929,2.02,2.1217,LUNA-USDT,8429855.0,17754288.4763,-0.028392178412785518,0,1,-0.01440052027686145,76,9,0.8941176470588236,1.0,1.0,1.0
2021-02-04 11:59:00,11.9166,12.5685,10.701,11.3382,BAND-USDT,2769637.6,32395399.79282,-0.04910388553888467,0,1,-0.02516991303375893,23,62,0.27058823529411763,1.0,1.0,1.0
2021-02-04 23:59:00,2.6759,3.04,2.6546,2.8738,SRM-USDT,4318049.0,12248734.200100001,0.07399656177591751,1,0,-0.03282998365844858,62,23,0.7294117647058823,1.0,1.0,1.0
2021-02-05 23:59:00,15.4355,16.0025,14.6792,15.0174,SUSHI-USDT,8327529.0,127476200.6974,-0.02679057469476631,0,1,-0.007644281824499943,65,20,0.7647058823529411,1.0,1.0,1.0
2021-02-06 11:59:00,3.9761,4.0364,3.3223,3.4596,RUNE-USDT,7356606.0,26745305.6958,-0.13099394639672457,0,1,-0.07008749176824758,14,71,0.16470588235294117,1.0,1.0,1.0
2021-02-06 23:59:00,0.7753,0.8338,0.7647,0.8286,ICX-USDT,6862969.0,5467259.325,0.06902335182557096,1,0,-0.029873620971609394,68,17,0.8,1.0,1.0,1.0
2021-02-07 11:59:00,1.4563,1.5093,1.257,1.3724,ZRX-USDT,34221142.1,46736770.09937,-0.0573528401675939,0,1,-0.029523035038715784,34,51,0.4,1.0,1.0,1.0
2021-02-07 23:59:00,442.994,482.68,392.496,473.334,AAVE-USDT,485183.2,212332155.7805,0.06850780837317672,1,0,-0.03128583236209481,29,56,0.3411764705882353,1.0,1.0,1.0
2021-02-08 23:59:00,0.075185,0.086134,0.070211,0.079054,DOGE-USDT,12166725148.0,974697937.832477,0.05145973265943993,1,0,-0.01743283125882711,43,42,0.5058823529411764,1.0,1.0,1.0
2021-02-09 11:59:00,164.896,220.0,160.594,196.799,EGLD-USDT,916126.2,179300186.1758,0.19463987616474943,1,0,-0.054243825650062694,59,26,0.6941176470588235,1.0,1.0,1.0
2021-02-09 23:59:00,0.079801,0.0812,0.063647,0.070186,DOGE-USDT,11500380507.0,822085445.373341,-0.1204321018597424,0,1,-0.04570373277353801,73,12,0.8588235294117647,1.0,1.0,1.0
2021-02-10 23:59:00,0.019757,0.019801,0.016699,0.018532,ANKR-USDT,768900499.0,13956286.332823,-0.06309403437815975,0,1,-0.03257465024013362,17,68,0.2,1.0,1.0,1.0
2021-02-11 11:59:00,0.022496,0.02522,0.0221199999999999,0.024458,IOST-USDT,1526384643.0,36302658.724879004,0.08707053646828733,1,0,-0.040421382840215236,75,10,0.8823529411764706,1.0,1.0,1.0
2021-02-11 23:59:00,180.247,185.14,147.67700000000002,158.55,EGLD-USDT,789898.4,131877699.0723,-0.12006615459752257,0,1,-0.02933832749763532,63,22,0.7411764705882353,1.0,1.0,1.0
2021-02-12 11:59:00,1.922,2.0432,1.91,2.021,TOMO-USDT,5298974.0,10491570.231,0.05222054459311698,1,0,-0.021627628907837648,67,18,0.788235294117647,1.0,1.0,1.0
2021-02-12 23:59:00,5.7307,5.8087,5.2507,5.2637,1INCH-USDT,22799889.0,125902135.4402,-0.08139474005689262,0,1,-0.020251190635501293,54,31,0.6352941176470588,1.0,1.0,1.0
2021-02-13 11:59:00,2.16468,2.335,1.70068,1.87827,ALPHA-USDT,71447287.0,141475561.16098002,-0.13176105135186356,0,1,-0.07052687315356854,20,65,0.23529411764705882,1.0,1.0,1.0
2021-02-13 23:59:00,1.5,1.7736,1.4658,1.6762,ALGO-USDT,75303811.7,121388536.39068,0.117541169411294,1,0,-0.0426719399997032,75,10,0.8823529411764706,1.0,1.0,1.0
2021-02-14 11:59:00,5.2981,5.453,4.85,5.0116,KAVA-USDT,6391326.1,32416007.14823,-0.05409384319202748,0,1,-0.027798793381054954,24,61,0.2823529411764706,1.0,1.0,1.0
2021-02-14 23:59:00,0.6239,0.6408,0.545,0.5458,FLM-USDT,43194488.0,25353285.6073,-0.12489979156645836,0,1,-0.06660966224882436,11,74,0.12941176470588237,1.0,1.0,1.0
2021-02-15 11:59:00,154.485,158.822,94.99,132.285,EGLD-USDT,1316845.2,169040425.57569999,-0.1437032721623459,0,1,-0.07741395543466889,18,67,0.21176470588235294,1.0,1.0,1.0
2021-02-15 23:59:00,2.85916,2.93852,2.52,2.58732,BEL-USDT,5933294.0,16541353.79857,-0.09346619576185677,0,1,-0.04902414819715506,25,60,0.29411764705882354,1.0,1.0,1.0
2021-02-16 11:59:00,44.216,51.899,42.012,48.562,TRB-USDT,718193.7,34377539.5965,0.09863807067553498,1,0,-0.03917722419090064,65,20,0.7647058823529411,1.0,1.0,1.0
2021-02-16 23:59:00,0.30405,0.31428,0.2706199999999999,0.28257,SKL-USDT,54972966.0,15920066.29608,-0.07125718981101081,0,1,-0.036944889403905834,13,72,0.15294117647058825,1.0,1.0,1.0
