time,open,high,low,close,symbol,volume,quote_volume,ÕÇµø·ù,Õñ·ù,ÉÏÕÇ,ÏÂµø,dc_dn,dc,ÉÏÕÇÊýÁ¿,ÏÂµøÊýÁ¿,ÉÏÕÇ±ÈÀý,rank_ÕÇµø·ù,rank_Õñ·ù,rank_sum,rank
2021-01-01 11:59:00,1.3658,1.4033,1.1222,1.1734,1INCH-USDT,25403471.0,31517115.0848,-0.14200058496636436,0.20581344267096202,0,1,0.7563,1,63,15,0.8076923076923077,1.0,2.0,3.0,1.0
2021-01-01 23:59:00,164.06,168.99,130.04,135.79,XMR-USDT,956884.799,136789222.67637,-0.17226455348978975,0.23741314153358536,0,1,130.04,1,22,56,0.28205128205128205,1.0,1.0,2.0,1.0
2021-01-02 11:59:00,1.1578,1.1626,1.0351,1.0706,1INCH-USDT,12425733.0,13604375.9425,-0.07531525306615994,0.11012264639834184,0,1,0.7563,1,23,55,0.2948717948717949,2.0,8.0,10.0,1.0
2021-01-02 23:59:00,0.4541,0.4568,0.3892,0.408,ALGO-USDT,90397594.1,37934537.4586,-0.10171730515191546,0.14886588857079935,0,1,0.2806,1,39,39,0.5,1.0,7.0,8.0,1.0
2021-01-03 11:59:00,0.07227,0.07681,0.06479,0.06812,ZIL-USDT,568478166.0,39767008.15138,-0.057293108220315636,0.16632074166320746,0,1,0.05405,1,57,21,0.7307692307692307,2.0,7.0,9.0,1.0
2021-01-03 23:59:00,0.01311,0.014,0.009403,0.009877,DOGE-USDT,28659713680.0,333463196.059425,-0.24614562662188977,0.3506483600305111,0,1,0.00424,1,67,11,0.8589743589743589,1.0,2.0,3.0,1.0
2021-01-04 11:59:00,0.009878,0.011554,0.0077,0.008864,DOGE-USDT,15408901674.0,148546439.834962,-0.10256150653032292,0.3901599514071674,0,1,0.00424,1,14,64,0.1794871794871795,3.0,1.0,4.0,1.0
2021-01-04 23:59:00,3.5848,3.8492,3.3,3.573,SUSHI-USDT,26147227.0,93295088.4592,-0.0034862641193696975,0.15320241017630004,0,1,2.3009,1,73,5,0.9358974358974359,4.0,17.0,21.0,1.0
2021-01-05 11:59:00,2.4803,2.5012,2.0527,2.3778,SOL-USDT,16298476.0,37121283.8405,-0.04244523195876282,0.1808249002136837,0,1,1.2544,1,63,15,0.8076923076923077,2.0,8.0,10.0,1.0
2021-01-05 23:59:00,1.11431,1.24663,0.8595,0.91368,CTK-USDT,41097528.0,43046810.24487,-0.1800412815220318,0.3474167870700253,0,1,0.78301,1,56,22,0.717948717948718,1.0,3.0,4.0,1.0
2021-01-06 11:59:00,0.49367,0.51975,0.41788,0.4364,LRC-USDT,239385401.0,112779551.15325,-0.11434021999431732,0.20635242165819287,0,1,0.14464,1,73,5,0.9358974358974359,1.0,7.0,8.0,1.0
2021-01-06 23:59:00,2.0322,2.1578,1.6734,1.8753,SOL-USDT,32130164.0,61306773.2752,-0.07729777602834087,0.2383623659088672,0,1,1.2857,1,56,22,0.717948717948718,3.0,5.0,8.0,1.0
2021-01-07 11:59:00,0.3331699999999999,0.356,0.30616,0.31217,ADA-USDT,752739499.0,249605824.79643,-0.06283398378865201,0.14959330071735152,0,1,0.16313,1,40,38,0.5128205128205128,3.0,16.0,19.0,1.0
2021-01-07 23:59:00,1.4696,1.6204,1.25,1.2986,1INCH-USDT,29236086.0,42918781.44,-0.11563606646690272,0.2520413718018509,0,1,0.7563,1,14,64,0.1794871794871795,5.0,4.0,9.0,1.0
2021-01-08 11:59:00,0.2023,0.215,0.1587599999999999,0.18132,CVC-USDT,478304500.0,89440205.64739001,-0.10005955926146504,0.2780029658922397,0,1,0.07955,1,40,38,0.5128205128205128,1.0,4.0,5.0,1.0
2021-01-08 23:59:00,0.4354,0.4574899999999999,0.36039,0.38525,ALPHA-USDT,53206783.0,21488946.53228,-0.11459171244053235,0.2230133210840604,0,1,0.17401,1,26,52,0.3333333333333333,1.0,6.0,7.0,1.0
2021-01-09 11:59:00,0.16519,0.17599,0.1461,0.1521799999999999,CVC-USDT,83282782.0,12953411.91061,-0.078367248062016,0.18094315636539743,0,1,0.07955,1,70,8,0.8974358974358975,1.0,9.0,10.0,1.0
2021-01-09 23:59:00,1.2375,1.2995,1.1264,1.1324,TOMO-USDT,8151801.0,9856775.4472,-0.08485534184580568,0.1398787878787879,0,1,0.6391,1,58,20,0.7435897435897436,2.0,13.0,15.0,1.0
2021-01-10 11:59:00,0.011376,0.013188,0.010226,0.010422,IOST-USDT,4382368933.0,52887976.867474,-0.0833773087071239,0.26037271448663846,0,1,0.005311,1,13,65,0.16666666666666666,6.0,2.0,8.0,1.0
2021-01-10 23:59:00,3.363,3.619,2.84,3.062,EOS-USDT,174747288.5,553570690.7168,-0.08896161856590312,0.23163841807909616,0,1,2.564,1,37,41,0.47435897435897434,2.0,5.0,7.0,1.0
2021-01-11 11:59:00,601.36,604.6,457.14,486.12,BCH-USDT,1371141.956,710963561.19381,-0.1917398244213887,0.24521085539443932,0,1,331.0,1,3,75,0.038461538461538464,1.0,5.0,6.0,1.0
2021-01-11 23:59:00,97.27,102.3,77.64,88.2,ZEC-USDT,1660174.865,147078907.87881,-0.09333881578947367,0.2535211267605634,0,1,55.19,1,39,39,0.5,1.0,5.0,6.0,1.0
2021-01-12 11:59:00,0.06488,0.0709299999999999,0.06122,0.06441,ZIL-USDT,316925230.0,20704285.45051,-0.007091105287498123,0.14966091245375926,0,1,0.0515,1,56,23,0.7088607594936709,14.0,17.0,31.0,1.0
2021-01-12 23:59:00,0.039534,0.041368,0.035618,0.036618,RSR-USDT,848713627.0,32588631.969005,-0.0737592957960237,0.14544442758132253,0,1,0.02675,1,15,64,0.189873417721519,1.0,13.0,14.0,1.0
