time,open,high,low,close,symbol,volume,quote_volume,涨跌幅,上涨,下跌,Pac_2,上涨数量,下跌数量,上涨比例,rank_Pac_2,rank_sum,rank
2021-01-01 11:59:00,1.1717,1.423,1.1545,1.3956,RUNE-USDT,12261114.0,16282297.7964,0.19170011100674578,1,0,0.40868428247548794,63,15,0.8076923076923077,1.0,1.0,1.0
2021-01-01 23:59:00,164.06,168.99,130.04,135.79,XMR-USDT,956884.799,136789222.67637,-0.17226455348978975,0,1,0.5415904488159518,22,56,0.28205128205128205,1.0,1.0,1.0
2021-01-02 11:59:00,0.0056799999999999,0.007899,0.00555,0.007256,DOGE-USDT,27285617873.0,188471143.538293,0.27746478873241687,1,0,0.4643654361801077,23,55,0.2948717948717949,1.0,1.0,1.0
2021-01-02 23:59:00,0.0072569999999999,0.0140759999999999,0.00677,0.010542,DOGE-USDT,71624192042.0,720549836.394982,0.4528665931642777,1,0,0.507916081470484,39,39,0.5,1.0,1.0,1.0
2021-01-03 11:59:00,14.43,15.875,14.005,15.281,NEO-USDT,778458.85,11535488.65668,0.05941486411536334,1,0,0.41625793680559897,57,21,0.7307692307692307,1.0,1.0,1.0
2021-01-03 23:59:00,0.19195,0.2773199999999999,0.19112,0.27331,LRC-USDT,99163530.0,22775732.2984,0.42267450939565876,1,0,0.5957840191595738,67,11,0.8589743589743589,1.0,1.0,1.0
2021-01-04 11:59:00,0.08795,0.09824,0.07955,0.08327,CVC-USDT,125059393.0,11115217.65729,-0.05159453302961281,0,1,0.5141783339839572,14,64,0.1794871794871795,1.0,1.0,1.0
2021-01-05 11:59:00,0.98137,1.12095,0.92127,1.1143,CTK-USDT,5655046.0,5766631.2416,0.1364378085097704,1,0,0.2510451927438362,63,15,0.8076923076923077,1.0,1.0,1.0
2021-01-05 23:59:00,1.11431,1.24663,0.8595,0.91368,CTK-USDT,41097528.0,43046810.24487,-0.1800412815220318,0,1,0.3068068291400208,56,22,0.717948717948718,1.0,1.0,1.0
2021-01-06 23:59:00,0.94174,1.256,0.93899,1.18566,KNC-USDT,28064028.0,31460364.74531,0.2590232869293747,1,0,0.5458567666986054,56,22,0.717948717948718,1.0,1.0,1.0
2021-01-07 11:59:00,24857.5,33797.1,24166.5,32844.5,YFI-USDT,6773.222,198021869.9558,0.32329715312527685,1,0,0.5341710283431633,40,38,0.5128205128205128,1.0,1.0,1.0
2021-01-07 23:59:00,0.333,0.51617,0.32838,0.41813,ALPHA-USDT,146638788.0,62684957.370400004,0.2556456456456455,1,0,0.5853443828184515,14,64,0.1794871794871795,1.0,1.0,1.0
2021-01-08 11:59:00,0.1642799999999999,0.272,0.1642799999999999,0.23514,ENJ-USDT,335166442.0,76333529.993,0.43098831548198624,1,0,0.46865855083413743,40,38,0.5128205128205128,1.0,1.0,1.0
2021-01-08 23:59:00,1.4791,1.9575,1.4722,1.7408,NEAR-USDT,16884840.0,29668482.7448,0.17669325402190061,1,0,0.5117139351579352,26,52,0.3333333333333333,1.0,1.0,1.0
2021-01-09 11:59:00,0.3702,0.48,0.3701,0.4475,IOTA-USDT,82047286.7,35281153.60549,0.20978642876453102,1,0,0.3732430144684822,70,8,0.8974358974358975,1.0,1.0,1.0
2021-01-09 23:59:00,450.56,590.0,445.0,576.54,BCH-USDT,1303474.663,665920157.49288,0.2801474343317716,1,0,0.44301698210472984,58,20,0.7435897435897436,1.0,1.0,1.0
2021-01-10 11:59:00,110.2,155.11,110.17,135.39,DASH-USDT,816738.861,111121030.33408,0.22891894345103014,1,0,0.5341315563111968,13,65,0.16666666666666666,1.0,1.0,1.0
2021-01-10 23:59:00,15.252,23.821,14.942,22.1,ZEN-USDT,3664444.0,77791917.1406,0.4488952992853865,1,0,0.5883255125714837,37,41,0.47435897435897434,1.0,1.0,1.0
2021-01-11 23:59:00,34.097,35.197,26.748,32.722,EGLD-USDT,1303275.2,39677102.6825,-0.04041055718475073,0,1,0.3005072761029415,39,39,0.5,1.0,1.0,1.0
2021-01-12 11:59:00,0.1212299999999999,0.15911,0.11615,0.14249,CVC-USDT,164055827.0,23518885.52511,0.17527218739689876,1,0,0.20712842180744362,56,23,0.7088607594936709,1.0,1.0,1.0
2021-01-12 23:59:00,35350.9,35861.0,32520.4,34021.1,BTCBUSD,431.589,14792670.932,-0.03811508317971568,0,1,0.23760173005886887,15,64,0.189873417721519,1.0,1.0,1.0
2021-01-13 11:59:00,1.2902,1.6477,1.2184,1.5724,RUNE-USDT,13462128.0,19899889.0978,0.22061791647259743,1,0,0.34373218225506696,71,8,0.8987341772151899,1.0,1.0,1.0
2021-01-14 11:59:00,1.2277,1.3787,1.2021,1.3442,TOMO-USDT,7689068.0,9970552.5517,0.09507128309572299,1,0,0.1838866165225288,45,34,0.569620253164557,1.0,1.0,1.0
2021-01-14 23:59:00,0.00853,0.010109,0.008512,0.009419,DOGE-USDT,4451711162.0,41952482.383117,0.10409096237252369,1,0,0.38402175628578417,51,28,0.6455696202531646,1.0,1.0,1.0
2021-01-15 11:59:00,6.486000000000001,8.544,6.456,8.085,ATOM-USDT,15600248.65,121051186.90843,0.2465309898242367,1,0,0.5845953686763847,54,25,0.6835443037974683,1.0,1.0,1.0
2021-01-15 23:59:00,18.089,21.682,17.65,20.766,LINK-USDT,66437877.77,1310525045.07416,0.14786357857498178,1,0,0.35499600881292204,17,62,0.21518987341772153,1.0,1.0,1.0
2021-01-16 23:59:00,21.946,25.143,21.729,22.866,FIL-USDT,3633949.2,85292421.5969,0.0419210790121205,1,0,0.606691080796838,15,64,0.189873417721519,1.0,1.0,1.0
